quant_name	age_idx1	age_idx2	rg_mean	rg_se	rg_diff_1	rg_diff_1_zscore	rg_diff_p
biochemistry_LDLdirect_corrected	3	4	0.9037	0.048	-0.0963000000000001	-2.00625	0.0224147908457937
biochemistry_LDLdirect_corrected	3	5	0.9138	0.0492	-0.0862000000000001	-1.7520325203252	0.0398841080813167
biochemistry_LDLdirect_corrected	4	5	1.059	0.0529	0.0589999999999999	1.11531190926276	0.867641608131321
biochemistry_Triglycerides_corrected	1	2	1.029	0.0543	0.0289999999999999	0.534069981583792	0.703353441298266
biochemistry_Triglycerides_corrected	1	3	0.9496	0.0455	-0.0504	-1.10769230769231	0.133997361299955
biochemistry_Triglycerides_corrected	1	4	0.9255	0.05	-0.0745	-1.49	0.0681121179667254
biochemistry_Triglycerides_corrected	1	5	0.9525	0.0486	-0.0475	-0.977366255144033	0.164193931413744
biochemistry_Triglycerides_corrected	2	3	1.032	0.0482	0.032	0.66390041493776	0.746622974661738
biochemistry_Triglycerides_corrected	2	4	0.9853	0.047	-0.0147	-0.31276595744681	0.377229240355955
biochemistry_Triglycerides_corrected	2	5	0.9162	0.0448	-0.0838	-1.87053571428571	0.030704731139545
biochemistry_Triglycerides_corrected	3	4	0.9707	0.0479	-0.0293	-0.611691022964509	0.27037110119403
biochemistry_Triglycerides_corrected	3	5	0.9614	0.0464	-0.0386	-0.831896551724137	0.202733669203282
biochemistry_Triglycerides_corrected	4	5	1.0751	0.0476	0.0750999999999999	1.57773109243697	0.942686299944905
biochemistry_Glucose	1	2	0.9379	0.2015	-0.0621	-0.308188585607941	0.378969418707708
biochemistry_Glucose	1	3	0.779	0.1649	-0.221	-1.34020618556701	0.0900891605881468
biochemistry_Glucose	1	4	0.6821	0.1607	-0.3179	-1.97822028624767	0.0239519305798826
biochemistry_Glucose	1	5	0.8098	0.1893	-0.1902	-1.00475435816165	0.157507573175801
biochemistry_Glucose	2	3	0.6501	0.1629	-0.3499	-2.14794352363413	0.0158591211301129
biochemistry_Glucose	2	4	0.6859	0.1674	-0.3141	-1.87634408602151	0.0303040235237739
biochemistry_Glucose	2	5	0.8756	0.2087	-0.1244	-0.596070915189267	0.275563926581843
biochemistry_Glucose	3	4	0.9003	0.1706	-0.0997	-0.584407971864009	0.279472932307822
biochemistry_Glucose	3	5	0.8285	0.2028	-0.1715	-0.845660749506903	0.198871012655112
biochemistry_Glucose	4	5	1.0903	0.2015	0.0903	0.448138957816377	0.672973543183338
biochemistry_Cholesterol_corrected	1	2	0.9935	0.0358	-0.00649999999999995	-0.181564245810054	0.427962355055988
biochemistry_Cholesterol_corrected	1	3	0.8598	0.0443	-0.1402	-3.1647855530474	0.00077598645081938
biochemistry_Cholesterol_corrected	1	4	0.9017	0.0419	-0.0983000000000001	-2.34606205250597	0.00948647423004518
biochemistry_Cholesterol_corrected	1	5	0.9021	0.0472	-0.0979	-2.07415254237288	0.0190325730663669
biochemistry_Cholesterol_corrected	2	3	0.9869	0.0403	-0.0131	-0.325062034739454	0.372567060907696
biochemistry_Cholesterol_corrected	2	4	0.8845	0.0438	-0.1155	-2.63698630136986	0.00418231046938542
biochemistry_Cholesterol_corrected	2	5	0.9474	0.0481	-0.0526	-1.09355509355509	0.137075076744012
biochemistry_Cholesterol_corrected	3	4	0.9156	0.0459	-0.0844	-1.83877995642702	0.0329737787472603
biochemistry_Cholesterol_corrected	3	5	0.9015	0.0464	-0.0985	-2.12284482758621	0.0168834285056021
biochemistry_Cholesterol_corrected	4	5	1.0219	0.05	0.0219	0.438000000000001	0.669306858285549
blood_RBC_DISTRIB_WIDTH	1	2	1.0228	0.0789	0.0227999999999999	0.288973384030417	0.613699127238837
blood_RBC_DISTRIB_WIDTH	1	3	0.9483	0.0718	-0.0517	-0.720055710306406	0.235745347635172
blood_RBC_DISTRIB_WIDTH	1	4	0.842	0.0662	-0.158	-2.38670694864048	0.00850001816767074
blood_RBC_DISTRIB_WIDTH	1	5	0.9457	0.0734	-0.0543	-0.739782016348774	0.22971613640233
blood_RBC_DISTRIB_WIDTH	2	3	1.0571	0.0705	0.0570999999999999	0.809929078014184	0.791009530770162
blood_RBC_DISTRIB_WIDTH	2	4	0.9067	0.0663	-0.0933000000000001	-1.40723981900453	0.0796781439402766
blood_RBC_DISTRIB_WIDTH	2	5	0.9902	0.0699	-0.00980000000000003	-0.140200286123033	0.444250872922355
blood_RBC_DISTRIB_WIDTH	3	4	1.0011	0.0587	0.0011000000000001	0.0187393526405469	0.507475482553872
blood_RBC_DISTRIB_WIDTH	3	5	1.1092	0.0724	0.1092	1.50828729281768	0.93425949298175
blood_RBC_DISTRIB_WIDTH	4	5	0.9921	0.061	-0.00790000000000002	-0.129508196721312	0.448477769763926
